,,,score,score,score
,,,mean,std,sem
model,size,trained_for,,,
conv,10x10,1000,0.219,0.451,0.014
conv,10x10,10000,3.192,1.768,0.056
conv,10x10,25000,6.928,3.867,0.122
conv,10x10,50000,10.608,5.276,0.167
conv,20x20,1000,0.073,0.26,0.008
conv,20x20,10000,1.443,0.991,0.031
conv,20x20,25000,5.774,3.414,0.108
conv,20x20,30000,6.626,4.001,0.127
conv,5x5,1000,0.641,0.636,0.02
conv,5x5,10000,4.01,1.685,0.053
conv,5x5,25000,6.605,2.978,0.094
conv,5x5,50000,7.959,3.173,0.1
normal,10x10,1000,0.03,0.171,0.005
normal,10x10,10000,0.305,0.512,0.016
normal,10x10,25000,0.637,0.578,0.018
normal,10x10,50000,0.849,0.575,0.018
normal,20x20,1000,0.029,0.168,0.005
normal,20x20,10000,0.037,0.194,0.006
normal,20x20,25000,0.089,0.305,0.01
normal,20x20,50000,0.132,0.35,0.011
normal,5x5,1000,0.247,0.546,0.017
normal,5x5,10000,8.717,3.312,0.105
normal,5x5,25000,9.87,2.871,0.091
normal,5x5,50000,10.353,2.744,0.087
pre,10x10,1000,9.07,2.765,0.087
pre,10x10,5000,11.039,1.4,0.044
pre,10x10,10000,34.751,7.341,0.232
pre,10x10,12500,35.652,7.098,0.224
pre,20x20,1000,6.105,1.509,0.048
pre,20x20,5000,4.055,0.283,0.009
pre,20x20,10000,77.246,16.723,0.529
pre,5x5,1000,8.844,2.366,0.075
pre,5x5,5000,8.743,1.478,0.047
pre,5x5,10000,12.842,3.121,0.099
pre,5x5,15000,14.073,3.443,0.109
